,aux_closing_price_1,aux_closing_price_2,aux_opening_price,balance,closing_balance,closing_time_1,closing_time_2,main_closing_price_1,main_closing_price_2,main_opening_price,opening_time,profit,reason_1,reason_2,risk,type,volume
0,1.24125,1.24125,1.22383,1000.0,312071.4285714283,2016-11-03 12:20:00,2016-11-03 12:20:00,1.24125,1.24125,1.22383,2016-10-31 13:00:00,311071.4285714283,stop loss,stop loss,0.03,SHORT,1785.714285714285
1,1.24776,1.24776,1.23003,312071.4285714283,109637270.77935828,2016-11-03 14:00:00,2016-11-03 14:00:00,1.24776,1.24776,1.23003,2016-11-02 13:00:00,109325199.35078685,stop loss,stop loss,0.03,SHORT,616611.3894573419
2,1.2627,1.2627,1.24632,109637270.77935828,33165144679.564777,2016-11-11 11:05:00,2016-11-11 11:05:00,1.2627,1.2627,1.24632,2016-11-03 13:00:00,33055507408.78542,stop loss,stop loss,0.03,SHORT,201804074.5347115
3,1.27341,1.27341,1.25444,33165144679.564777,9990769716494.348,2016-12-02 23:20:00,2016-12-02 23:20:00,1.27341,1.27341,1.25444,2016-11-10 13:00:00,9957604571814.783,stop loss,stop loss,0.03,SHORT,52491326156.11396
4,1.28726,1.28726,1.26776,9990769716494.348,3013492732719437.0,2017-04-27 09:10:00,2017-04-27 09:10:00,1.28726,1.28726,1.26776,2016-12-02 13:00:00,3003501963002942.5,stop loss,stop loss,0.03,SHORT,15402574169245.803
5,1.30253,1.30253,1.28452,3013492732719437.0,1.1140268830352122e+18,2017-05-18 11:30:00,2017-05-18 11:30:00,1.30253,1.30253,1.28452,2017-04-26 13:00:00,1.1110133903024927e+18,stop loss,stop loss,0.03,SHORT,6168869463089957.0
6,1.3084200000000001,1.3084200000000001,1.2968600000000001,1.1140268830352122e+18,3.436831143814566e+20,2017-07-14 17:55:00,2017-07-14 17:55:00,1.3084200000000001,1.3084200000000001,1.2968600000000001,2017-05-17 13:00:00,3.4256908749842134e+20,stop loss,stop loss,0.03,SHORT,2.963400410885994e+18
7,1.3243,1.3243,1.3096,3.436831143814566e+20,1.0398495344877033e+23,2017-08-01 17:20:00,2017-08-01 17:20:00,1.3243,1.3243,1.3096,2017-07-14 13:00:00,1.0364127033438887e+23,stop loss,stop loss,0.03,SHORT,7.050426553359818e+20
8,1.33435,1.33435,1.32055,1.0398495344877033e+23,3.139177969928662e+25,2017-09-14 15:20:00,2017-09-14 15:20:00,1.33435,1.33435,1.32055,2017-08-01 13:00:00,3.128779474583785e+25,stop loss,stop loss,0.03,SHORT,2.2672315033215776e+23
9,1.35715,1.35715,1.33945,3.139177969928662e+25,1.0885142316162599e+28,2017-09-15 13:00:00,2017-09-15 13:00:00,1.35715,1.35715,1.33945,2017-09-14 13:00:00,1.0853750536463312e+28,stop loss,stop loss,0.03,SHORT,6.1320624499792555e+25
